time(sec), p_des[0], p_des[1], p_meas[0], p_meas[1]
0.005, 0, 0, 0, 0
0.01, 0, 0, 0, 0
0.015, 0, 0, 0, 0
0.02, 0, 0, 0, 0
0.026, 0, 0, 0, 0
0.031, 0, 0, 0, 0
0.036, 0, 0, 0, 0
0.041, 0, 0, 0, 0
0.046, 0, 0, 0, 0
0.05, 0, 0, 0, 0
0.055, 0, 0, 0, 0
0.06, 0, 0, 0, 0
0.065, 0, 0, 0, 0
0.07, 0, 0, 0, 0
0.075, 0, 0, 0, 0
0.081, 0, 0, 0, 0
0.086, 0, 0, 0, 0
0.09, 0, 0, 0, 0
0.095, 0, 0, 0, 0
0.101, 0, 0, 0, 0
0.105, 0, 0, 0, 0
0.11, 0, 0, 0, 0
0.115, 0, 0, 0, 0
0.12, 0, 0, 0, 0
0.125, 0, 0, 0, 0
0.13, 0, 0, 0, 0
0.135, 0, 0, 0, 0
0.14, 0, 0, 0, 0
0.145, 0, 0, 0, 0
0.15, 0, 0, 0, 0
0.155, 0, 0, 0, 0
0.16, 0, 0, 0, 0
0.165, 0, 0, 0, 0
0.17, 0, 0, 0, 0
0.175, 0, 0, 0, 0
0.181, 0, 0, 0, 0
0.185, 0, 0, 0, 0
0.19, 0, 0, 0, 0
0.195, 0, 0, 0, 0
0.2, 0, 0, 0, 0
0.205, 0, 0, 0, 0
0.21, 0, 0, 0, 0
0.215, 0, 0, 0, 0
0.221, 0, 0, 0, 0
0.225, 0, 0, 0, 0
0.231, 0, 0, 0, 0
0.235, 0, 0, 0, 0
0.241, 0, 0, 0, 0
0.245, 0, 0, 0, 0
0.25, 0, 0, 0, 0
0.256, 0, 0, 0, 0
0.261, 0, 0, 0, 0
0.265, 0, 0, 0, 0
0.27, 0, 0, 0, 0
0.276, 0, 0, 0, 0
0.281, 0, 0, 0, 0
0.285, 0, 0, 0, 0
0.29, 0, 0, 0, 0
0.296, 0, 0, 0, 0
0.301, 0, 0, 0, 0
0.306, 0, 0, 0, 0
0.31, 0, 0, 0, 0
0.315, 0, 0, 0, 0
0.321, 0, 0, 0, 0
0.325, 0, 0, 0, 0
0.33, 0, 0, 0, 0
0.335, 0, 0, 0, 0
0.341, 0, 0, 0, 0
0.346, 0, 0, 0, 0
0.35, 0, 0, 0, 0
0.356, 0, 0, 0, 0
0.361, 0, 0, 0, 0
0.365, 0, 0, 0, 0
0.37, 0, 0, 0, 0
0.375, 0, 0, 0, 0
0.381, 0, 0, 0, 0
0.385, 0, 0, 0, 0
0.39, 0, 0, 0, 0
0.395, 0, 0, 0, 0
0.401, 0, 0, 0, 0
0.405, 0, 0, 0, 0
0.41, 0, 0, 0, 0
0.415, 0, 0, 0, 0
0.421, 0, 0, 0, 0
0.426, 0, 0, 0, 0
0.431, 0, 0, 0, 0
0.436, 0, 0, 0, 0
0.441, 0, 0, 0, 0
0.446, 0, 0, 0, 0
0.45, 0, 0, 0, 0
0.456, 0, 0, 0, 0
0.461, 0, 0, 0, 0
0.466, 0, 0, 0, 0
0.47, 0, 0, 0, 0
0.476, 0, 0, 0, 0
0.481, 0, 0, 0, 0
0.485, 0, 0, 0, 0
0.49, 0, 0, 0, 0
0.495, 0, 0, 0, 0
0.501, 0, 0, 0, 0
0.506, 0, 0, 0, 0
0.51, 0, 0, 0, 0
0.515, 0, 0, 0, 0
0.521, 0, 0, 0, 0
0.525, 0, 0, 0, 0
0.53, 0, 0, 0, 0
0.535, 0, 0, 0, 0
0.541, 0, 0, 0, 0
0.546, 0, 0, 0, 0
0.551, 0, 0, 0, 0
0.556, 0, 0, 0, 0
0.561, 0, 0, 0, 0
0.566, 0, 0, 0, 0
0.57, 0, 0, 0, 0
0.575, 0, 0, 0, 0
0.581, 0, 0, 0, 0
0.585, 0, 0, 0, 0
0.591, 0, 0, 0, 0
0.595, 0, 0, 0, 0
0.6, 0, 0, 0, 0
0.605, 0, 0, 0, 0
0.61, 0, 0, 0, 0
0.616, 0, 0, 0, 0
0.621, 0, 0, 0, 0
0.625, 0, 0, 0, 0
0.63, 0, 0, 0, 0
0.636, 0, 0, 0, 0
0.641, 0, 0, 0, 0
0.646, 0, 0, 0, 0
0.65, 0, 0, 0, 0
0.656, 0, 0, 0, 0
0.661, 0, 0, 0, 0
0.665, 0, 0, 0, 0
0.67, 0, 0, 0, 0
0.676, 0, 0, 0, 0
0.681, 0, 0, 0, 0
0.686, 0, 0, 0, 0
0.691, 0, 0, 0, 0
0.696, 0, 0, 0, 0
0.701, 0, 0, 0, 0
0.705, 0, 0, 0, 0
0.71, 0, 0, 0, 0
0.715, 0, 0, 0, 0
0.721, 0, 0, 0, 0
0.725, 0, 0, 0, 0
0.731, 0, 0, 0, 0
0.735, 0, 0, 0, 0
0.741, 0, 0, 0, 0
0.746, 0, 0, 0, 0
0.75, 0, 0, 0, 0
0.755, 0, 0, 0, 0
0.761, 0, 0, 0, 0
0.765, 0, 0, 0, 0
0.77, 0, 0, 0, 0
0.775, 0, 0, 0, 0
0.78, 0, 0, 0, 0
0.785, 0, 0, 0, 0
0.79, 0, 0, 0, 0
0.795, 0, 0, 0, 0
0.8, 0, 0, 0, 0
0.806, 0, 0, 0, 0
0.811, 0, 0, 0, 0
0.816, 0, 0, 0, 0
0.821, 0, 0, 0, 0
0.826, 0, 0, 0, 0
0.831, 0, 0, 0, 0
0.836, 0, 0, 0, 0
0.84, 0, 0, 0, 0
0.846, 0, 0, 0, 0
0.85, 0, 0, 0, 0
0.855, 0, 0, 0, 0
0.86, 0, 0, 0, 0
0.865, 0, 0, 0, 0
0.87, 0, 0, 0, 0
0.875, 0, 0, 0, 0
0.881, 0, 0, 0, 0
0.886, 0, 0, 0, 0
0.89, 0, 0, 0, 0
0.895, 0, 0, 0, 0
0.901, 0, 0, 0, 0
0.905, 0, 0, 0, 0
0.911, 0, 0, 0, 0
0.915, 0, 0, 0, 0
0.92, 0, 0, 0, 0
0.926, 0, 0, 0, 0
0.93, 0, 0, 0, 0
0.935, 0, 0, 0, 0
0.941, 0, 0, 0, 0
0.946, 0, 0, 0, 0
0.951, 0, 0, 0, 0
0.956, 0, 0, 0, 0
0.961, 0, 0, 0, 0
0.966, 0, 0, 0, 0
0.971, 0, 0, 0, 0
0.975, 0, 0, 0, 0
0.981, 0, 0, 0, 0
0.985, 0, 0, 0, 0
0.99, 0, 0, 0, 0
0.995, 0, 0, 0, 0
1, 0, 0, 0, 0
1.005, 0, 0, 0, 0
1.011, 0, 0, 0, 0
1.015, 0, 0, 0, 0
1.02, 0, 0, 0, 0
1.025, 0, 0, 0, 0
1.031, 0, 0, 0, 0
1.036, 0, 0, 0, 0
1.04, 0, 0, 0, 0
1.046, 0, 0, 0, 0
1.05, 0, 0, 0, 0
1.055, 0, 0, 0, 0
1.061, 0, 0, 0, 0
1.066, 0, 0, 0, 0
1.07, 0, 0, 0, 0
1.075, 0, 0, 0, 0
1.081, 0, 0, 0, 0
1.086, 0, 0, 0, 0
1.09, 0, 0, 0, 0
1.096, 0, 0, 0, 0
1.101, 0, 0, 0, 0
1.106, 0, 0, 0, 0
1.111, 0, 0, 0, 0
1.115, 0, 0, 0, 0
1.121, 0, 0, 0, 0
1.126, 0, 0, 0, 0
1.131, 0, 0, 0, 0
1.135, 0, 0, 0, 0
1.14, 0, 0, 0, 0
1.145, 0, 0, 0, 0
1.15, 0, 0, 0, 0
1.155, 0, 0, 0, 0
1.161, 0, 0, 0, 0
1.165, 0, 0, 0, 0
1.17, 0, 0, 0, 0
1.175, 0, 0, 0, 0
1.181, 0, 0, 0, 0
1.185, 0, 0, 0, 0
1.19, 0, 0, 0, 0
1.195, 0, 0, 0, 0
1.2, 0, 0, 0, 0
1.205, 0, 0, 0, 0
1.21, 0, 0, 0, 0
1.215, 0, 0, 0, 0
1.221, 0, 0, 0, 0
1.226, 0, 0, 0, 0
1.231, 0, 0, 0, 0
1.236, 0, 0, 0, 0
1.241, 0, 0, 0, 0
1.245, 0, 0, 0, 0
1.25, 0, 0, 0, 0
1.255, 0, 0, 0, 0
1.261, 0, 0, 0, 0
1.265, 0, 0, 0, 0
1.27, 0, 0, 0, 0
1.276, 0, 0, 0, 0
1.281, 0, 0, 0, 0
1.286, 0, 0, 0, 0
1.29, 0, 0, 0, 0
1.296, 0, 0, 0, 0
1.301, 0, 0, 0, 0
1.306, 0, 0, 0, 0
