time(sec), p_des[0], p_des[1], p_meas[0], p_meas[1]
0.006, 0, 0, 0, 0
0.01, 0, 0, 0, 0
0.015, 0, 0, 0, 0
0.021, 0, 0, 0, 0
0.025, 0, 0, 0, 0
0.03, 0, 0, 0, 0
0.036, 0, 0, 0, 0
0.041, 0, 0, 0, 0
0.046, 0, 0, 0, 0
0.05, 0, 0, 0, 0
0.056, 0, 0, 0, 0
0.06, 0, 0, 0, 0
0.066, 0, 0, 0, 0
0.071, 0, 0, 0, 0
0.076, 0, 0, 0, 0
0.08, 0, 0, 0, 0
0.086, 0, 0, 0, 0
0.091, 0, 0, 0, 0
0.095, 0, 0, 0, 0
0.1, 0, 0, 0, 0
0.106, 0, 0, 0, 0
0.111, 0, 0, 0, 0
0.115, 0, 0, 0, 0
0.12, 0, 0, 0, 0
0.126, 0, 0, 0, 0
0.13, 0, 0, 0, 0
0.135, 0, 0, 0, 0
0.141, 0, 0, 0, 0
0.146, 0, 0, 0, 0
0.15, 0, 0, 0, 0
0.155, 0, 0, 0, 0
0.16, 0, 0, 0, 0
0.165, 0, 0, 0, 0
0.17, 0, 0, 0, 0
0.175, 0, 0, 0, 0
0.18, 0, 0, 0, 0
0.185, 0, 0, 0, 0
0.19, 0, 0, 0, 0
0.195, 0, 0, 0, 0
0.2, 0, 0, 0, 0
0.205, 0, 0, 0, 0
0.21, 0, 0, 0, 0
0.215, 0, 0, 0, 0
0.22, 0, 0, 0, 0
0.225, 0, 0, 0, 0
0.23, 0, 0, 0, 0
0.235, 0, 0, 0, 0
0.24, 0, 0, 0, 0
0.245, 0, 0, 0, 0
0.251, 0, 0, 0, 0
0.255, 0, 0, 0, 0
0.26, 0, 0, 0, 0
0.266, 0, 0, 0, 0
0.271, 0, 0, 0, 0
0.276, 0, 0, 0, 0
0.28, 0, 0, 0, 0
0.286, 0, 0, 0, 0
0.29, 0, 0, 0, 0
0.295, 0, 0, 0, 0
0.301, 0, 0, 0, 0
0.306, 0, 0, 0, 0
0.311, 0, 0, 0, 0
0.315, 0, 0, 0, 0
0.321, 0, 0, 0, 0
0.326, 0, 0, 0, 0
0.33, 0, 0, 0, 0
0.335, 0, 0, 0, 0
0.34, 0, 0, 0, 0
0.346, 0, 0, 0, 0
0.35, 0, 0, 0, 0
0.355, 0, 0, 0, 0
0.36, 0, 0, 0, 0
0.366, 0, 0, 0, 0
0.37, 0, 0, 0, 0
0.375, 0, 0, 0, 0
0.381, 0, 0, 0, 0
0.386, 0, 0, 0, 0
0.39, 0, 0, 0, 0
0.396, 0, 0, 0, 0
0.401, 0, 0, 0, 0
0.406, 0, 0, 0, 0
0.411, 0, 0, 0, 0
0.416, 0, 0, 0, 0
0.421, 0, 0, 0, 0
0.426, 0, 0, 0, 0
0.43, 0, 0, 0, 0
0.435, 0, 0, 0, 0
0.441, 0, 0, 0, 0
0.446, 0, 0, 0, 0
0.451, 0, 0, 0, 0
0.455, 0, 0, 0, 0
0.46, 0, 0, 0, 0
0.466, 0, 0, 0, 0
0.47, 0, 0, 0, 0
0.475, 0, 0, 0, 0
0.481, 0, 0, 0, 0
0.487, 0, 0, 0, 0
0.491, 0, 0, 0, 0
0.495, 0, 0, 0, 0
0.501, 0, 0, 0, 0
0.506, 0, 0, 0, 0
0.51, 0, 0, 0, 0
0.515, 0, 0, 0, 0
0.521, 0, 0, 0, 0
0.526, 0, 0, 0, 0
0.53, 0, 0, 0, 0
0.535, 0, 0, 0, 0
0.541, 0, 0, 0, 0
0.546, 0, 0, 0, 0
0.551, 0, 0, 0, 0
0.555, 0, 0, 0, 0
0.561, 0, 0, 0, 0
0.565, 0, 0, 0, 0
0.571, 0, 0, 0, 0
0.575, 0, 0, 0, 0
0.58, 0, 0, 0, 0
0.586, 0, 0, 0, 0
0.591, 0, 0, 0, 0
0.595, 0, 0, 0, 0
0.601, 0, 0, 0, 0
0.606, 0, 0, 0, 0
0.61, 0, 0, 0, 0
0.615, 0, 0, 0, 0
0.621, 0, 0, 0, 0
0.626, 0, 0, 0, 0
0.63, 0, 0, 0, 0
0.635, 0, 0, 0, 0
0.641, 0, 0, 0, 0
0.646, 0, 0, 0, 0
0.651, 0, 0, 0, 0
0.655, 0, 0, 0, 0
0.661, 0, 0, 0, 0
0.666, 0, 0, 0, 0
0.671, 0, 0, 0, 0
0.676, 0, 0, 0, 0
0.681, 0, 0, 0, 0
0.686, 0, 0, 0, 0
0.69, 0, 0, 0, 0
0.695, 0, 0, 0, 0
0.701, 0, 0, 0, 0
0.706, 0, 0, 0, 0
0.711, 0, 0, 0, 0
0.715, 0, 0, 0, 0
0.721, 0, 0, 0, 0
0.726, 0, 0, 0, 0
0.73, 0, 0, 0, 0
0.735, 0, 0, 0, 0
0.741, 0, 0, 0, 0
0.746, 0, 0, 0, 0
0.75, 0, 0, 0, 0
0.755, 0, 0, 0, 0
0.761, 0, 0, 0, 0
0.766, 0, 0, 0, 0
0.771, 0, 0, 0, 0
0.775, 0, 0, 0, 0
0.781, 0, 0, 0, 0
0.786, 0, 0, 0, 0
0.791, 0, 0, 0, 0
0.796, 0, 0, 0, 0
0.801, 0, 0, 0, 0
0.806, 0, 0, 0, 0
0.811, 0, 0, 0, 0
0.815, 0, 0, 0, 0
0.821, 0, 0, 0, 0
0.826, 0, 0, 0, 0
0.831, 0, 0, 0, 0
0.835, 0, 0, 0, 0
0.84, 0, 0, 0, 0
0.846, 0, 0, 0, 0
0.85, 0, 0, 0, 0
0.855, 0, 0, 0, 0
0.86, 0, 0, 0, 0
0.865, 0, 0, 0, 0
0.87, 0, 0, 0, 0
0.875, 0, 0, 0, 0
0.88, 0, 0, 0, 0
0.886, 0, 0, 0, 0
0.891, 0, 0, 0, 0
0.895, 0, 0, 0, 0
0.9, 0, 0, 0, 0
0.906, 0, 0, 0, 0
0.91, 0, 0, 0, 0
0.915, 0, 0, 0, 0
0.921, 0, 0, 0, 0
0.925, 0, 0, 0, 0
0.93, 0, 0, 0, 0
0.935, 0, 0, 0, 0
0.94, 0, 0, 0, 0
0.945, 0, 0, 0, 0
0.95, 0, 0, 0, 0
0.955, 0, 0, 0, 0
0.96, 0, 0, 0, 0
0.965, 0, 0, 0, 0
0.97, 0, 0, 0, 0
0.976, 0, 0, 0, 0
0.98, 0, 0, 0, 0
0.985, 0, 0, 0, 0
0.99, 0, 0, 0, 0
0.995, 0, 0, 0, 0
1.001, 0, 0, 0, 0
1.006, 0, 0, 0, 0
1.011, 0, 0, 0, 0
1.015, 0, 0, 0, 0
1.021, 0, 0, 0, 0
1.026, 0, 0, 0, 0
1.031, 0, 0, 0, 0
1.035, 0, 0, 0, 0
1.04, 0, 0, 0, 0
1.046, 0, 0, 0, 0
1.051, 0, 0, 0, 0
1.056, 0, 0, 0, 0
1.061, 0, 0, 0, 0
1.066, 0, 0, 0, 0
1.071, 0, 0, 0, 0
1.075, 0, 0, 0, 0
1.08, 0, 0, 0, 0
1.086, 0, 0, 0, 0
1.09, 0, 0, 0, 0
1.096, 0, 0, 0, 0
1.1, 0, 0, 0, 0
1.106, 0, 0, 0, 0
1.11, 0, 0, 0, 0
1.115, 0, 0, 0, 0
1.12, 0, 0, 0, 0
1.126, 0, 0, 0, 0
1.13, 0, 0, 0, 0
1.135, 0, 0, 0, 0
1.14, 0, 0, 0, 0
1.145, 0, 0, 0, 0
1.15, 0, 0, 0, 0
1.155, 0, 0, 0, 0
1.16, 0, 0, 0, 0
1.165, 0, 0, 0, 0
1.171, 0, 0, 0, 0
1.175, 0, 0, 0, 0
1.18, 0, 0, 0, 0
1.185, 0, 0, 0, 0
1.191, 0, 0, 0, 0
1.196, 0, 0, 0, 0
1.201, 0, 0, 0, 0
1.206, 0, 0, 0, 0
1.211, 0, 0, 0, 0
1.215, 0, 0, 0, 0
1.221, 0, 0, 0, 0
1.226, 0, 0, 0, 0
1.231, 0, 0, 0, 0
1.235, 0, 0, 0, 0
1.241, 0, 0, 0, 0
1.246, 0, 0, 0, 0
1.25, 0, 0, 0, 0
1.255, 0, 0, 0, 0
1.261, 0, 0, 0, 0
1.266, 0, 0, 0, 0
1.271, 0, 0, 0, 0
1.275, 0, 0, 0, 0
1.281, 0, 0, 0, 0
1.286, 0, 0, 0, 0
1.291, 0, 0, 0, 0
1.295, 0, 0, 0, 0
1.3, 0, 0, 0, 0
1.306, 0, 0, 0, 0
1.31, 0, 0, 0, 0
1.315, 0, 0, 0, 0
1.321, 0, 0, 0, 0
1.327, 0, 0, 0, 0
1.331, 0, 0, 0, 0
1.336, 0, 0, 0, 0
1.34, 0, 0, 0, 0
1.345, 0, 0, 0, 0
1.351, 0, 0, 0, 0
1.355, 0, 0, 0, 0
1.36, 0, 0, 0, 0
1.366, 0, 0, 0, 0
1.371, 0, 0, 0, 0
1.375, 0, 0, 0, 0
1.381, 0, 0, 0, 0
1.386, 0, 0, 0, 0
1.39, 0, 0, 0, 0
1.395, 0, 0, 0, 0
1.401, 0, 0, 0, 0
1.406, 0, 0, 0, 0
1.411, 0, 0, 0, 0
1.415, 0, 0, 0, 0
1.421, 0, 0, 0, 0
1.426, 0, 0, 0, 0
1.431, 0, 0, 0, 0
1.435, 0, 0, 0, 0
1.44, 0, 0, 0, 0
1.446, 0, 0, 0, 0
1.451, 0, 0, 0, 0
1.455, 0, 0, 0, 0
1.461, 0, 0, 0, 0
1.466, 0, 0, 0, 0
1.471, 0, 0, 0, 0
1.476, 0, 0, 0, 0
1.481, 0, 0, 0, 0
1.486, 0, 0, 0, 0
1.491, 0, 0, 0, 0
1.495, 0, 0, 0, 0
1.501, 0, 0, 0, 0
1.506, 0, 0, 0, 0
1.511, 0, 0, 0, 0
1.515, 0, 0, 0, 0
1.521, 0, 0, 0, 0
1.526, 0, 0, 0, 0
1.531, 0, 0, 0, 0
1.535, 0, 0, 0, 0
1.54, 0, 0, 0, 0
1.545, 0, 0, 0, 0
1.55, 0, 0, 0, 0
1.555, 0, 0, 0, 0
1.56, 0, 0, 0, 0
1.565, 0, 0, 0, 0
1.57, 0, 0, 0, 0
1.575, 0, 0, 0, 0
1.58, 0, 0, 0, 0
1.586, 0, 0, 0, 0
1.591, 0, 0, 0, 0
1.595, 0, 0, 0, 0
1.6, 0, 0, 0, 0
1.606, 0, 0, 0, 0
1.611, 0, 0, 0, 0
1.615, 0, 0, 0, 0
1.621, 0, 0, 0, 0
1.626, 0, 0, 0, 0
1.63, 0, 0, 0, 0
1.635, 0, 0, 0, 0
1.64, 0, 0, 0, 0
1.645, 0, 0, 0, 0
1.65, 0, 0, 0, 0
1.655, 0, 0, 0, 0
1.66, 0, 0, 0, 0
1.666, 0, 0, 0, 0
1.671, 0, 0, 0, 0
1.675, 0, 0, 0, 0
1.68, 0, 0, 0, 0
1.685, 0, 0, 0, 0
1.69, 0, 0, 0, 0
1.695, 0, 0, 0, 0
1.701, 0, 0, 0, 0
1.706, 0, 0, 0, 0
1.711, 0, 0, 0, 0
1.715, 0, 0, 0, 0
1.721, 0, 0, 0, 0
1.726, 0, 0, 0, 0
1.731, 0, 0, 0, 0
1.736, 0, 0, 0, 0
1.74, 0, 0, 0, 0
1.746, 0, 0, 0, 0
1.75, 0, 0, 0, 0
1.755, 0, 0, 0, 0
1.76, 0, 0, 0, 0
1.766, 0, 0, 0, 0
1.77, 0, 0, 0, 0
1.776, 0, 0, 0, 0
1.78, 0, 0, 0, 0
1.786, 0, 0, 0, 0
1.79, 0, 0, 0, 0
1.795, 0, 0, 0, 0
1.8, 0, 0, 0, 0
1.806, 0, 0, 0, 0
1.81, 0, 0, 0, 0
1.815, 0, 0, 0, 0
1.82, 0, 0, 0, 0
1.826, 0, 0, 0, 0
1.831, 0, 0, 0, 0
1.835, 0, 0, 0, 0
1.84, 0, 0, 0, 0
1.846, 0, 0, 0, 0
1.851, 0, 0, 0, 0
1.855, 0, 0, 0, 0
1.861, 0, 0, 0, 0
1.866, 0, 0, 0, 0
1.871, 0, 0, 0, 0
1.877, 0, 0, 0, 0
1.881, 0, 0, 0, 0
1.886, 0, 0, 0, 0
1.89, 0, 0, 0, 0
1.895, 0, 0, 0, 0
1.901, 0, 0, 0, 0
1.906, 0, 0, 0, 0
1.91, 0, 0, 0, 0
1.916, 0, 0, 0, 0
1.921, 0, 0, 0, 0
1.926, 0, 0, 0, 0
1.931, 0, 0, 0, 0
1.935, 0, 0, 0, 0
1.94, 0, 0, 0, 0
1.945, 0, 0, 0, 0
1.95, 0, 0, 0, 0
1.955, 0, 0, 0, 0
1.96, 0, 0, 0, 0
1.965, 0, 0, 0, 0
1.97, 0, 0, 0, 0
1.975, 0, 0, 0, 0
1.981, 0, 0, 0, 0
1.986, 0, 0, 0, 0
1.99, 0, 0, 0, 0
1.995, 0, 0, 0, 0
2.001, 0, 0, 0, 0
2.006, 0, 0, 0, 0
2.011, 0, 0, 0, 0
2.016, 0, 0, 0, 0
2.021, 0, 0, 0, 0
2.026, 0, 0, 0, 0
2.03, 0, 0, 0, 0
2.035, 0, 0, 0, 0
2.04, 0, 0, 0, 0
2.046, 0, 0, 0, 0
2.05, 0, 0, 0, 0
2.055, 0, 0, 0, 0
2.06, 0, 0, 0, 0
2.065, 0, 0, 0, 0
2.071, 0, 0, 0, 0
2.075, 0, 0, 0, 0
2.08, 0, 0, 0, 0
2.086, 0, 0, 0, 0
2.091, 0, 0, 0, 0
2.095, 0, 0, 0, 0
2.1, 0, 0, 0, 0
2.106, 0, 0, 0, 0
2.111, 0, 0, 0, 0
