time(sec), p_des[0], p_des[1], p_meas[0], p_meas[1]
0.005, 0, 0, 0, 0
0.01, 0, 0, 0, 0
0.015, 0, 0, 0, 0
0.02, 0, 0, 0, 0
0.025, 0, 0, 0, 0
0.03, 0, 0, 0, 0
0.035, 0, 0, 0, 0
0.04, 0, 0, 0, 0
0.045, 0, 0, 0, 0
0.05, 0, 0, 0, 0
0.055, 0, 0, 0, 0
0.061, 0, 0, 0, 0
0.065, 0, 0, 0, 0
0.07, 0, 0, 0, 0
0.076, 0, 0, 0, 0
0.08, 0, 0, 0, 0
0.085, 0, 0, 0, 0
0.09, 0, 0, 0, 0
0.096, 0, 0, 0, 0
0.1, 0, 0, 0, 0
0.106, 0, 0, 0, 0
0.11, 0, 0, 0, 0
0.116, 0, 0, 0, 0
0.121, 0, 0, 0, 0
0.125, 0, 0, 0, 0
0.13, 0, 0, 0, 0
0.135, 0, 0, 0, 0
0.14, 0, 0, 0, 0
0.146, 0, 0, 0, 0
0.151, 0, 0, 0, 0
0.156, 0, 0, 0, 0
0.161, 0, 0, 0, 0
0.165, 0, 0, 0, 0
0.17, 0, 0, 0, 0
0.175, 0, 0, 0, 0
0.18, 0, 0, 0, 0
0.185, 0, 0, 0, 0
0.19, 0, 0, 0, 0
0.195, 0, 0, 0, 0
0.2, 0, 0, 0, 0
0.205, 0, 0, 0, 0
0.21, 0, 0, 0, 0
0.215, 0, 0, 0, 0
0.22, 0, 0, 0, 0
0.225, 0, 0, 0, 0
0.23, 0, 0, 0, 0
0.235, 0, 0, 0, 0
0.24, 0, 0, 0, 0
0.245, 0, 0, 0, 0
0.25, 0, 0, 0, 0
0.255, 0, 0, 0, 0
0.26, 0, 0, 0, 0
0.265, 0, 0, 0, 0
0.27, 0, 0, 0, 0
0.276, 0, 0, 0, 0
0.281, 0, 0, 0, 0
0.285, 0, 0, 0, 0
0.29, 0, 0, 0, 0
0.296, 0, 0, 0, 0
0.3, 0, 0, 0, 0
0.305, 0, 0, 0, 0
0.31, 0, 0, 0, 0
0.315, 0, 0, 0, 0
0.32, 0, 0, 0, 0
0.325, 0, 0, 0, 0
0.33, 0, 0, 0, 0
0.335, 0, 0, 0, 0
0.34, 0, 0, 0, 0
0.346, 0, 0, 0, 0
0.35, 0, 0, 0, 0
0.356, 0, 0, 0, 0
0.36, 0, 0, 0, 0
0.365, 0, 0, 0, 0
0.37, 0, 0, 0, 0
0.376, 0, 0, 0, 0
0.381, 0, 0, 0, 0
0.385, 0, 0, 0, 0
0.391, 0, 0, 0, 0
0.396, 0, 0, 0, 0
0.401, 0, 0, 0, 0
0.405, 0, 0, 0, 0
0.411, 0, 0, 0, 0
0.416, 0, 0, 0, 0
0.421, 0, 0, 0, 0
0.426, 0, 0, 0, 0
0.431, 0, 0, 0, 0
0.436, 0, 0, 0, 0
0.44, 0, 0, 0, 0
0.445, 0, 0, 0, 0
0.45, 0, 0, 0, 0
0.456, 0, 0, 0, 0
0.461, 0, 0, 0, 0
0.465, 0, 0, 0, 0
0.471, 0, 0, 0, 0
0.476, 0, 0, 0, 0
0.481, 0, 0, 0, 0
0.485, 0, 0, 0, 0
0.49, 0, 0, 0, 0
0.495, 0, 0, 0, 0
0.5, 0, 0, 0, 0
0.505, 0, 0, 0, 0
0.51, 0, 0, 0, 0
0.515, 0, 0, 0, 0
0.52, 0, 0, 0, 0
0.525, 0, 0, 0, 0
0.53, 0, 0, 0, 0
0.536, 0, 0, 0, 0
0.541, 0, 0, 0, 0
0.546, 0, 0, 0, 0
0.551, 0, 0, 0, 0
0.556, 0, 0, 0, 0
0.561, 0, 0, 0, 0
0.566, 0, 0, 0, 0
0.571, 0, 0, 0, 0
0.575, 0, 0, 0, 0
0.58, 0, 0, 0, 0
0.585, 0, 0, 0, 0
0.59, 0, 0, 0, 0
0.595, 0, 0, 0, 0
0.6, 0, 0, 0, 0
0.605, 0, 0, 0, 0
0.61, 0, 0, 0, 0
0.615, 0, 0, 0, 0
0.62, 0, 0, 0, 0
0.625, 0, 0, 0, 0
0.63, 0, 0, 0, 0
0.636, 0, 0, 0, 0
0.64, 0, 0, 0, 0
0.645, 0, 0, 0, 0
0.65, 0, 0, 0, 0
0.655, 0, 0, 0, 0
0.661, 0, 0, 0, 0
0.665, 0, 0, 0, 0
0.67, 0, 0, 0, 0
0.676, 0, 0, 0, 0
0.681, 0, 0, 0, 0
0.686, 0, 0, 0, 0
0.691, 0, 0, 0, 0
0.696, 0, 0, 0, 0
0.701, 0, 0, 0, 0
0.706, 0, 0, 0, 0
0.711, 0, 0, 0, 0
0.716, 0, 0, 0, 0
0.721, 0, 0, 0, 0
0.726, 0, 0, 0, 0
0.731, 0, 0, 0, 0
0.736, 0, 0, 0, 0
0.741, 0, 0, 0, 0
0.746, 0, 0, 0, 0
0.751, 0, 0, 0, 0
0.756, 0, 0, 0, 0
0.761, 0, 0, 0, 0
0.765, 0, 0, 0, 0
0.77, 0, 0, 0, 0
0.776, 0, 0, 0, 0
0.781, 0, 0, 0, 0
0.786, 0, 0, 0, 0
0.79, 0, 0, 0, 0
0.795, 0, 0, 0, 0
0.8, 0, 0, 0, 0
0.806, 0, 0, 0, 0
0.81, 0, 0, 0, 0
0.815, 0, 0, 0, 0
0.821, 0, 0, 0, 0
0.826, 0, 0, 0, 0
0.831, 0, 0, 0, 0
0.836, 0, 0, 0, 0
0.841, 0, 0, 0, 0
0.846, 0, 0, 0, 0
0.85, 0, 0, 0, 0
0.856, 0, 0, 0, 0
0.861, 0, 0, 0, 0
0.865, 0, 0, 0, 0
0.87, 0, 0, 0, 0
0.875, 0, 0, 0, 0
0.88, 0, 0, 0, 0
0.885, 0, 0, 0, 0
0.89, 0, 0, 0, 0
0.895, 0, 0, 0, 0
0.9, 0, 0, 0, 0
0.905, 0, 0, 0, 0
0.91, 0, 0, 0, 0
0.915, 0, 0, 0, 0
0.92, 0, 0, 0, 0
0.925, 0, 0, 0, 0
0.93, 0, 0, 0, 0
0.935, 0, 0, 0, 0
0.94, 0, 0, 0, 0
0.945, 0, 0, 0, 0
0.95, 0, 0, 0, 0
0.956, 0, 0, 0, 0
0.961, 0, 0, 0, 0
0.966, 0, 0, 0, 0
0.971, 0, 0, 0, 0
0.976, 0, 0, 0, 0
0.98, 0, 0, 0, 0
0.985, 0, 0, 0, 0
0.99, 0, 0, 0, 0
0.995, 0, 0, 0, 0
1, 0, 0, 0, 0
1.005, 0, 0, 0, 0
1.01, 0, 0, 0, 0
1.016, 0, 0, 0, 0
1.021, 0, 0, 0, 0
1.026, 0, 0, 0, 0
1.03, 0, 0, 0, 0
1.035, 0, 0, 0, 0
1.041, 0, 0, 0, 0
1.045, 0, 0, 0, 0
1.05, 0, 0, 0, 0
1.056, 0, 0, 0, 0
1.061, 0, 0, 0, 0
1.066, 0, 0, 0, 0
1.07, 0, 0, 0, 0
1.076, 0, 0, 0, 0
1.081, 0, 0, 0, 0
1.086, 0, 0, 0, 0
1.09, 0, 0, 0, 0
1.095, 0, 0, 0, 0
1.1, 0, 0, 0, 0
1.106, 0, 0, 0, 0
1.111, 0, 0, 0, 0
1.115, 0, 0, 0, 0
1.12, 0, 0, 0, 0
1.125, 0, 0, 0, 0
1.13, 0, 0, 0, 0
1.136, 0, 0, 0, 0
1.14, 0, 0, 0, 0
1.146, 0, 0, 0, 0
1.15, 0, 0, 0, 0
1.156, 0, 0, 0, 0
1.161, 0, 0, 0, 0
1.166, 0, 0, 0, 0
1.17, 0, 0, 0, 0
1.175, 0, 0, 0, 0
1.18, 0, 0, 0, 0
1.185, 0, 0, 0, 0
1.19, 0, 0, 0, 0
1.195, 0, 0, 0, 0
1.2, 0, 0, 0, 0
1.206, 0, 0, 0, 0
1.21, 0, 0, 0, 0
1.215, 0, 0, 0, 0
1.221, 0, 0, 0, 0
1.226, 0, 0, 0, 0
1.231, 0, 0, 0, 0
1.236, 0, 0, 0, 0
1.24, 0, 0, 0, 0
1.246, 0, 0, 0, 0
1.25, 0, 0, 0, 0
1.256, 0, 0, 0, 0
1.26, 0, 0, 0, 0
1.266, 0, 0, 0, 0
1.27, 0, 0, 0, 0
1.276, 0, 0, 0, 0
1.281, 0, 0, 0, 0
1.286, 0, 0, 0, 0
1.29, 0, 0, 0, 0
1.296, 0, 0, 0, 0
1.3, 0, 0, 0, 0
1.305, 0, 0, 0, 0
