Time(s), Force(N)
0.016820192337036133,-0.2604
0.11741781234741211,-0.2603
0.21800923347473145,-0.2604
0.3187425136566162,-0.2605
0.41944384574890137,-0.2607
0.5200831890106201,-0.2605
0.6206848621368408,-0.2604
0.7211782932281494,-0.2604
0.8218364715576172,-0.2603
0.9225964546203613,-0.2605
1.0232977867126465,-0.2607
1.1239407062530518,-0.2602
1.2245972156524658,-0.2601
1.3252558708190918,-0.2584
1.425957441329956,-0.2583
1.5267000198364258,-0.2574
1.627351999282837,-0.2559
1.7281055450439453,-0.2557
1.828824758529663,-0.2563
1.9294893741607666,-0.256
2.029921054840088,-0.257
2.1305835247039795,-0.2583
2.231205701828003,-0.2588
2.3317818641662598,-0.2593
2.432487726211548,-0.2593
2.5331859588623047,-0.2594
2.633768320083618,-0.2596
2.7344515323638916,-0.2597
2.835050344467163,-0.2596
2.935678243637085,-0.26
3.0361857414245605,-0.2596
3.1369411945343018,-0.2598
3.237673044204712,-0.26
3.338167667388916,-0.2597
3.4387319087982178,-0.2595
3.5393834114074707,-0.2599
3.6400351524353027,-0.2597
3.740752696990967,-0.2598
3.8414955139160156,-0.2601
3.94223952293396,-0.2602
4.042574644088745,-0.2601
4.143220663070679,-0.26
4.243915319442749,-0.2596
4.344624757766724,-0.2596
4.445347785949707,-0.2598
4.5459699630737305,-0.2597
4.646703243255615,-0.2597
4.747320890426636,-0.2598
4.847950458526611,-0.2598
4.94867467880249,-0.2598
5.049356698989868,-0.2598
5.149981737136841,-0.2599
5.250701427459717,-0.26
5.351410150527954,-0.2599
5.452067613601685,-0.2596
5.5526580810546875,-0.2596
5.6533122062683105,-0.2595
5.754022836685181,-0.2596
5.85475492477417,-0.2597
5.955467700958252,-0.2598
6.055930852890015,-0.2594
6.156445264816284,-0.2597
6.257087707519531,-0.2597
6.357715606689453,-0.2595
6.458466291427612,-0.2596
6.559169769287109,-0.2597
6.659821033477783,-0.2598
6.760570049285889,-0.2597
6.861135959625244,-0.2595
6.961770296096802,-0.2594
7.062502861022949,-0.2596
7.1631529331207275,-0.2597
7.2638304233551025,-0.2596
7.364519119262695,-0.2594
7.465216875076294,-0.2594
