Time(s), Force(N)
0.057656049728393555,3.4982
0.15842938423156738,3.4899
0.26035022735595703,3.4705
0.3608856201171875,3.4614
0.46138572692871094,3.4553
0.5619692802429199,3.4443
0.6625373363494873,3.4404
0.7631998062133789,3.4376
0.863706111907959,3.437
0.9642889499664307,3.4358
1.0646753311157227,3.4338
1.1651289463043213,3.4321
1.265775203704834,3.4368
1.366393804550171,3.4346
1.466888666152954,3.4295
1.567556381225586,3.4254
1.6680967807769775,3.4175
1.768700361251831,3.4131
1.8693475723266602,3.4085
1.969998836517334,3.4022
2.070645332336426,3.3928
2.171283721923828,3.3851
2.2718896865844727,3.382
2.3724703788757324,3.3793
2.4730193614959717,3.3739
2.5735924243927,3.3626
2.674243688583374,3.3574
2.774925947189331,3.3587
2.8756155967712402,3.3652
2.976173162460327,3.3559
3.076793909072876,3.3357
3.1774158477783203,3.3298
3.2780609130859375,3.3359
3.378627300262451,3.3257
3.47932505607605,3.3121
3.579828977584839,3.2914
3.6804563999176025,3.275
3.7810888290405273,3.2779
3.8817241191864014,3.2805
3.9823789596557617,3.2822
4.082988500595093,3.2874
4.183587312698364,3.2761
4.284198522567749,3.2642
4.384856939315796,3.265
4.485425710678101,3.2667
4.585982799530029,3.2564
4.686660528182983,3.2555
4.787280559539795,3.2701
4.8878326416015625,3.2636
4.988502025604248,3.2312
5.08913779258728,3.2169
5.1897194385528564,3.2165
5.290216445922852,3.2152
5.390732526779175,3.2269
5.491286754608154,3.235
5.591906309127808,3.2156
5.692556381225586,3.2104
5.793224811553955,3.2199
5.893759489059448,3.2146
5.994412422180176,3.2082
6.095092296600342,3.1998
6.195648908615112,3.1916
6.296302080154419,3.19
6.3969457149505615,3.1996
6.497626066207886,3.2057
6.598124980926514,3.1975
6.6985883712768555,3.1948
6.799274206161499,3.1995
6.899935245513916,3.196
7.000478982925415,3.1914
7.100986003875732,3.1876
7.201487064361572,3.1814
7.301966428756714,3.1735
7.402584075927734,3.1682
7.503129005432129,3.166
7.603686571121216,3.1708
7.704320192337036,3.1801
7.804946184158325,3.1888
7.905602931976318,3.1773
8.006241798400879,3.1552
8.106829166412354,3.143
8.20749568939209,3.1399
8.308042526245117,3.1387
8.408573150634766,3.1196
8.509188652038574,3.1182
8.609563827514648,3.1375
8.710023164749146,3.138
8.81051754951477,3.1242
8.910999059677124,3.1104
9.011505842208862,3.1125
9.112125158309937,3.113
9.212758779525757,3.1075
9.313421249389648,3.1002
9.413979053497314,3.1015
9.514618396759033,3.1042
