time(sec), p_des[0], p_des[1], p_meas[0], p_meas[1]
0.005, 0, 0, 0, 0
0.01, 0, 0, 0, 0
0.015, 0, 0, 0, 0
0.02, 0, 0, 0, 0
0.025, 0, 0, 0, 0
0.03, 0, 0, 0, 0
0.036, 0, 0, 0, 0
0.041, 0, 0, 0, 0
0.045, 0, 0, 0, 0
0.05, 0, 0, 0, 0
0.055, 0, 0, 0, 0
0.06, 0, 0, 0, 0
0.065, 0, 0, 0, 0
0.07, 0, 0, 0, 0
0.076, 0, 0, 0, 0
0.08, 0, 0, 0, 0
0.086, 0, 0, 0, 0
0.091, 0, 0, 0, 0
0.095, 0, 0, 0, 0
0.1, 0, 0, 0, 0
0.106, 0, 0, 0, 0
0.111, 0, 0, 0, 0
0.115, 0, 0, 0, 0
0.12, 0, 0, 0, 0
0.125, 0, 0, 0, 0
0.13, 0, 0, 0, 0
0.135, 0, 0, 0, 0
0.14, 0, 0, 0, 0
0.146, 0, 0, 0, 0
0.15, 0, 0, 0, 0
0.155, 0, 0, 0, 0
0.16, 0, 0, 0, 0
0.166, 0, 0, 0, 0
0.171, 0, 0, 0, 0
0.176, 0, 0, 0, 0
0.181, 0, 0, 0, 0
0.185, 0, 0, 0, 0
0.191, 0, 0, 0, 0
0.195, 0, 0, 0, 0
0.2, 0, 0, 0, 0
0.205, 0, 0, 0, 0
0.21, 0, 0, 0, 0
0.215, 0, 0, 0, 0
0.22, 0, 0, 0, 0
0.226, 0, 0, 0, 0
0.23, 0, 0, 0, 0
0.235, 0, 0, 0, 0
0.241, 0, 0, 0, 0
0.245, 0, 0, 0, 0
0.251, 0, 0, 0, 0
0.256, 0, 0, 0, 0
0.26, 0, 0, 0, 0
0.265, 0, 0, 0, 0
0.27, 0, 0, 0, 0
0.275, 0, 0, 0, 0
0.28, 0, 0, 0, 0
0.286, 0, 0, 0, 0
0.29, 0, 0, 0, 0
0.295, 0, 0, 0, 0
0.301, 0, 0, 0, 0
0.306, 0, 0, 0, 0
0.31, 0, 0, 0, 0
0.315, 0, 0, 0, 0
0.32, 0, 0, 0, 0
0.325, 0, 0, 0, 0
0.331, 0, 0, 0, 0
0.335, 0, 0, 0, 0
0.341, 0, 0, 0, 0
0.345, 0, 0, 0, 0
0.35, 0, 0, 0, 0
0.355, 0, 0, 0, 0
0.36, 0, 0, 0, 0
0.365, 0, 0, 0, 0
0.37, 0, 0, 0, 0
0.375, 0, 0, 0, 0
0.38, 0, 0, 0, 0
0.385, 0, 0, 0, 0
0.39, 0, 0, 0, 0
0.395, 0, 0, 0, 0
0.4, 0, 0, 0, 0
0.405, 0, 0, 0, 0
0.41, 0, 0, 0, 0
0.415, 0, 0, 0, 0
0.42, 0, 0, 0, 0
0.425, 0, 0, 0, 0
0.431, 0, 0, 0, 0
0.436, 0, 0, 0, 0
0.441, 0, 0, 0, 0
0.447, 0, 0, 0, 0
0.451, 0, 0, 0, 0
0.455, 0, 0, 0, 0
0.461, 0, 0, 0, 0
0.465, 0, 0, 0, 0
0.47, 0, 0, 0, 0
0.475, 0, 0, 0, 0
0.481, 0, 0, 0, 0
0.486, 0, 0, 0, 0
0.491, 0, 0, 0, 0
0.495, 0, 0, 0, 0
0.5, 0, 0, 0, 0
0.506, 0, 0, 0, 0
0.511, 0, 0, 0, 0
0.515, 0, 0, 0, 0
0.52, 0, 0, 0, 0
0.525, 0, 0, 0, 0
0.53, 0, 0, 0, 0
0.535, 0, 0, 0, 0
0.54, 0, 0, 0, 0
0.546, 0, 0, 0, 0
0.551, 0, 0, 0, 0
0.555, 0, 0, 0, 0
0.56, 0, 0, 0, 0
0.565, 0, 0, 0, 0
0.57, 0, 0, 0, 0
0.575, 0, 0, 0, 0
0.58, 0, 0, 0, 0
0.585, 0, 0, 0, 0
0.59, 0, 0, 0, 0
0.595, 0, 0, 0, 0
0.6, 0, 0, 0, 0
0.605, 0, 0, 0, 0
0.61, 0, 0, 0, 0
0.615, 0, 0, 0, 0
0.62, 0, 0, 0, 0
0.625, 0, 0, 0, 0
0.63, 0, 0, 0, 0
0.635, 0, 0, 0, 0
0.64, 0, 0, 0, 0
0.646, 0, 0, 0, 0
0.65, 0, 0, 0, 0
0.656, 0, 0, 0, 0
0.66, 0, 0, 0, 0
0.665, 0, 0, 0, 0
0.671, 0, 0, 0, 0
0.675, 0, 0, 0, 0
0.68, 0, 0, 0, 0
0.685, 0, 0, 0, 0
0.691, 0, 0, 0, 0
0.695, 0, 0, 0, 0
0.7, 0, 0, 0, 0
0.707, 0, 0, 0, 0
0.711, 0, 0, 0, 0
0.716, 0, 0, 0, 0
0.722, 0, 0, 0, 0
0.726, 0, 0, 0, 0
0.731, 0, 0, 0, 0
0.736, 0, 0, 0, 0
0.741, 0, 0, 0, 0
0.746, 0, 0, 0, 0
0.751, 0, 0, 0, 0
0.756, 0, 0, 0, 0
0.76, 0, 0, 0, 0
0.765, 0, 0, 0, 0
0.771, 0, 0, 0, 0
0.775, 0, 0, 0, 0
0.78, 0, 0, 0, 0
0.785, 0, 0, 0, 0
0.791, 0, 0, 0, 0
0.795, 0, 0, 0, 0
0.8, 0, 0, 0, 0
0.806, 0, 0, 0, 0
0.811, 0, 0, 0, 0
0.815, 0, 0, 0, 0
0.82, 0, 0, 0, 0
0.826, 0, 0, 0, 0
0.83, 0, 0, 0, 0
0.835, 0, 0, 0, 0
0.841, 0, 0, 0, 0
0.846, 0, 0, 0, 0
0.85, 0, 0, 0, 0
0.857, 0, 0, 0, 0
0.861, 0, 0, 0, 0
0.866, 0, 0, 0, 0
0.871, 0, 0, 0, 0
0.875, 0, 0, 0, 0
0.88, 0, 0, 0, 0
0.886, 0, 0, 0, 0
0.891, 0, 0, 0, 0
0.895, 0, 0, 0, 0
0.9, 0, 0, 0, 0
0.906, 0, 0, 0, 0
0.91, 0, 0, 0, 0
0.915, 0, 0, 0, 0
0.92, 0, 0, 0, 0
0.926, 0, 0, 0, 0
0.93, 0, 0, 0, 0
0.936, 0, 0, 0, 0
0.94, 0, 0, 0, 0
0.946, 0, 0, 0, 0
0.951, 0, 0, 0, 0
0.956, 0, 0, 0, 0
0.96, 0, 0, 0, 0
0.965, 0, 0, 0, 0
0.971, 0, 0, 0, 0
0.975, 0, 0, 0, 0
0.981, 0, 0, 0, 0
0.986, 0, 0, 0, 0
0.99, 0, 0, 0, 0
0.995, 0, 0, 0, 0
1.001, 0, 0, 0, 0
1.005, 0, 0, 0, 0
1.01, 0, 0, 0, 0
1.015, 0, 0, 0, 0
1.02, 0, 0, 0, 0
1.025, 0, 0, 0, 0
1.03, 0, 0, 0, 0
1.035, 0, 0, 0, 0
1.04, 0, 0, 0, 0
1.045, 0, 0, 0, 0
1.05, 0, 0, 0, 0
1.055, 0, 0, 0, 0
1.06, 0, 0, 0, 0
1.065, 0, 0, 0, 0
1.07, 0, 0, 0, 0
1.075, 0, 0, 0, 0
1.08, 0, 0, 0, 0
1.085, 0, 0, 0, 0
1.091, 0, 0, 0, 0
1.095, 0, 0, 0, 0
1.1, 0, 0, 0, 0
1.106, 0, 0, 0, 0
1.111, 0, 0, 0, 0
1.116, 0, 0, 0, 0
1.121, 0, 0, 0, 0
1.126, 0, 0, 0, 0
1.131, 0, 0, 0, 0
1.136, 0, 0, 0, 0
1.14, 0, 0, 0, 0
1.146, 0, 0, 0, 0
1.151, 0, 0, 0, 0
1.156, 0, 0, 0, 0
1.16, 0, 0, 0, 0
1.165, 0, 0, 0, 0
1.171, 0, 0, 0, 0
1.175, 0, 0, 0, 0
1.18, 0, 0, 0, 0
1.186, 0, 0, 0, 0
1.191, 0, 0, 0, 0
1.195, 0, 0, 0, 0
1.2, 0, 0, 0, 0
1.206, 0, 0, 0, 0
1.211, 0, 0, 0, 0
1.215, 0, 0, 0, 0
1.22, 0, 0, 0, 0
1.226, 0, 0, 0, 0
1.231, 0, 0, 0, 0
1.235, 0, 0, 0, 0
1.24, 0, 0, 0, 0
1.246, 0, 0, 0, 0
1.251, 0, 0, 0, 0
1.256, 0, 0, 0, 0
1.261, 0, 0, 0, 0
1.266, 0, 0, 0, 0
1.27, 0, 0, 0, 0
1.276, 0, 0, 0, 0
1.28, 0, 0, 0, 0
1.285, 0, 0, 0, 0
1.29, 0, 0, 0, 0
1.295, 0, 0, 0, 0
1.3, 0, 0, 0, 0
1.305, 0, 0, 0, 0
