Time(s), Force(N)
0.04537463188171387,0.0001
0.14653301239013672,0.0
0.24725008010864258,0.0
0.34795522689819336,0.0002
0.4486236572265625,0.0003
0.5492775440216064,0.0006
0.6499102115631104,0.0005
0.7505810260772705,0.0004
0.8512585163116455,0.0001
0.9519660472869873,0.0001
1.0526161193847656,0.0002
1.1532738208770752,0.0003
1.25398588180542,0.0002
1.3546295166015625,0.0003
1.4552977085113525,0.0003
1.555917739868164,0.0003
1.6566367149353027,0.0002
1.7572357654571533,0.0002
1.8578402996063232,0.0002
1.958489179611206,0.0001
2.0591330528259277,0.0003
2.1598548889160156,0.0004
2.260469436645508,0.0002
2.361076831817627,0.0004
2.461703062057495,0.0002
2.562373638153076,0.0001
2.663003444671631,0.0003
2.763634204864502,0.0002
2.8642923831939697,0.0003
2.9648706912994385,0.0003
3.0655484199523926,0.0003
3.1662237644195557,0.0005
3.26698637008667,0.0003
3.367713689804077,0.0
3.468287944793701,0.0
3.5687849521636963,0.0
3.6694366931915283,0.0001
3.770082712173462,0.0002
3.8707311153411865,0.0001
3.97141170501709,0.0002
4.072045564651489,0.0001
4.172505617141724,0.0001
4.273101329803467,0.0002
4.373712062835693,0.0002
4.474383592605591,0.0001
4.5750226974487305,0.0001
4.675628185272217,0.0002
4.776240825653076,0.0
4.876813173294067,0.0
4.977465629577637,0.0
5.0781519412994385,0.0001
5.178831577301025,0.0002
5.279493570327759,0.0002
5.380151033401489,-0.0
5.480489253997803,0.0002
5.580899715423584,0.0002
5.681554794311523,0.0003
5.782241582870483,0.0002
5.882871866226196,0.0002
5.983584403991699,-0.0
6.0843329429626465,0.0003
6.184935569763184,0.0001
6.285483360290527,-0.0001
6.38614559173584,0.0001
6.48645806312561,0.0001
6.5867626667022705,0.0002
6.687090158462524,0.0002
6.7874298095703125,0.0001
6.887803077697754,0.0002
6.98816180229187,0.0004
7.088518142700195,0.0003
7.188844442367554,0.0004
7.2891645431518555,0.0001
7.3895275592803955,0.0002
7.489869117736816,0.0003
7.590217113494873,0.0002
7.690681457519531,0.0001
7.7911529541015625,0.0
7.891761541366577,0.0002
7.992425441741943,0.0003
8.09309720993042,0.0002
8.193761825561523,0.0001
8.294726371765137,0.0002
8.395333051681519,0.0002
8.495643377304077,0.0001
8.596245765686035,0.0001
8.69684624671936,0.0
8.797518968582153,0.0001
8.898224115371704,0.0002
8.998935461044312,-0.0
9.099580764770508,0.0
9.200255393981934,0.0
9.30077052116394,0.0
9.401406049728394,0.0001
9.50207805633545,0.0001
9.602732419967651,0.0002
9.704553365707397,0.0002
9.805586814880371,0.0001
9.906238317489624,0.0001
10.006834983825684,0.0002
10.107401609420776,0.0002
10.20807409286499,-0.0001
10.308714866638184,0.0
10.409769773483276,0.0002
10.510377168655396,0.0
10.611025094985962,0.0001
10.711722373962402,0.0001
10.812308311462402,0.0001
10.912957668304443,0.0003
11.01360011100769,0.0002
11.114105224609375,-0.0
11.2146737575531,-0.0001
11.315237283706665,0.0
11.4159255027771,-0.0002
11.516537189483643,-0.0002
11.61721420288086,-0.0001
11.717857599258423,0.0001
11.818352937698364,0.0001
11.918968200683594,-0.0001
12.019718885421753,0.0001
12.120397090911865,0.0002
12.221084594726562,0.0002
12.321807146072388,0.0001
12.42251467704773,0.0
12.523117065429688,-0.0001
12.623660326004028,0.0004
12.724281311035156,0.0004
12.824929475784302,0.0002
12.925588607788086,0.0001
13.026271343231201,0.0001
13.126936435699463,-0.0001
13.228378057479858,-0.0001
13.328989028930664,-0.0001
13.429631471633911,-0.0001
13.530341625213623,0.0003
13.630964517593384,0.0003
13.731545448303223,0.0001
13.832202434539795,0.0003
13.932786703109741,0.0001
14.033385515213013,0.0001
14.134067296981812,-0.0
14.234734296798706,-0.0001
14.335391759872437,-0.0002
14.436037540435791,-0.0002
14.536607265472412,-0.0001
14.637243509292603,0.0
14.73771357536316,0.0
14.838329076766968,0.0001
14.938990831375122,0.0002
15.039633512496948,0.0001
15.140294790267944,-0.0002
15.240941047668457,-0.0001
15.341555118560791,0.0
15.441973447799683,0.0002
15.542587757110596,-0.0001
15.643267154693604,-0.0002
15.743992328643799,-0.0
15.844594240188599,0.0001
15.945243120193481,-0.0001
16.04590082168579,-0.0002
16.14651870727539,0.0001
16.247065544128418,0.0
16.34770894050598,-0.0
16.448416471481323,0.0001
