Time(s), Force(N)
0.06274795532226562,0.0045
0.16330170631408691,0.0041
0.2639312744140625,0.0038
0.3643970489501953,0.0049
0.4648876190185547,0.0052
0.5654613971710205,0.0048
0.6660788059234619,0.0043
0.7666642665863037,0.0039
0.8672447204589844,0.0039
0.9678778648376465,0.0044
1.0685081481933594,0.004
1.1690006256103516,0.0052
1.2695870399475098,0.0052
1.3702170848846436,0.0045
1.4707863330841064,0.0044
1.5713474750518799,0.0042
1.6719846725463867,0.0045
1.7725884914398193,0.0049
1.8731613159179688,0.0047
1.973790168762207,0.0046
2.0743963718414307,0.0043
2.174988269805908,0.0041
2.2756409645080566,0.0048
2.3763253688812256,0.0047
2.476884365081787,0.005
2.5775411128997803,0.0046
2.678105354309082,0.0038
2.778745651245117,0.0041
2.879387617111206,0.0045
2.9799933433532715,0.0048
3.080695390701294,0.0048
3.181260824203491,0.0048
3.2818987369537354,0.005
3.3825247287750244,0.0046
3.483166217803955,0.0039
3.583747625350952,0.0043
3.6843783855438232,0.005
3.785011053085327,0.0048
3.885549545288086,0.0042
3.9861104488372803,0.0047
4.08675217628479,0.0045
4.18738055229187,0.0045
4.28805947303772,0.0048
4.388662576675415,0.005
4.489390134811401,0.0051
4.589932203292847,0.0042
4.690627336502075,0.0037
4.791135311126709,0.0041
4.89178991317749,0.0045
4.992478609085083,0.0049
5.093093395233154,0.0049
5.193796873092651,0.0047
5.29428243637085,0.0046
5.394892692565918,0.0043
5.495527744293213,0.0042
5.596158742904663,0.0045
5.696795701980591,0.0051
5.797487020492554,0.0044
5.8981404304504395,0.0045
5.998611688613892,0.0046
6.099267244338989,0.0047
6.199949741363525,0.005
6.300640344619751,0.0047
6.401278734207153,0.0043
6.501933574676514,0.0046
6.602420330047607,0.0039
6.702957630157471,0.0038
6.803536891937256,0.0046
6.904149055480957,0.005
7.004770278930664,0.005
7.105387926101685,0.0047
7.206009387969971,0.0044
7.306679010391235,0.0044
7.40723443031311,0.0041
7.507917404174805,0.0044
7.608483791351318,0.0047
7.709057092666626,0.0047
7.809702157974243,0.0044
7.910390138626099,0.0041
8.011023998260498,0.0046
8.111626386642456,0.005
8.212147951126099,0.0051
8.312810182571411,0.0048
8.413438320159912,0.0043
8.5141019821167,0.0042
8.614765644073486,0.0044
8.71540904045105,0.0045
8.816022396087646,0.0046
8.916619300842285,0.0049
9.017138957977295,0.0048
9.117891550064087,0.0041
9.21844744682312,0.004
9.319151163101196,0.0044
9.419800043106079,0.0045
9.520451545715332,0.0045
9.621033191680908,0.0044
9.72163438796997,0.0044
9.8223557472229,0.0043
9.923087358474731,0.0042
10.023664236068726,0.0046
10.124358892440796,0.0052
10.224852323532104,0.0049
10.325491428375244,0.0044
10.426127672195435,0.0042
10.526938676834106,0.0042
10.62765383720398,0.0044
10.7283296585083,0.0047
10.828924417495728,0.0048
10.929482221603394,0.0047
11.030040979385376,0.0045
11.13070821762085,0.0043
11.231389999389648,0.0042
11.332073211669922,0.0045
11.43276834487915,0.0046
11.533386468887329,0.0045
11.634078741073608,0.0045
11.734777688980103,0.0046
11.835536003112793,0.0044
11.936206340789795,0.0045
12.036859273910522,0.0046
12.137408256530762,0.005
12.23815631866455,0.0049
12.338731288909912,0.0042
12.439364194869995,0.0038
12.540007829666138,0.0042
12.640534162521362,0.0047
12.74108338356018,0.0049
12.841610670089722,0.0049
12.94218373298645,0.0049
13.042893648147583,0.0045
13.14362382888794,0.0043
13.244186639785767,0.0042
13.344901323318481,0.0044
13.445551633834839,0.0045
13.546059370040894,0.0043
13.646618366241455,0.0042
13.74720549583435,0.0045
13.847931861877441,0.0045
13.948596477508545,0.0046
14.049347639083862,0.0049
14.149960279464722,0.0049
14.2506422996521,0.0046
14.351256132125854,0.0041
14.45189619064331,0.0042
14.552471160888672,0.0046
14.653025150299072,0.0048
14.753625392913818,0.0049
14.854192018508911,0.0049
14.95484972000122,0.0045
15.055463790893555,0.0042
15.15607476234436,0.0042
15.256695747375488,0.0044
15.357359647750854,0.0045
15.457930088043213,0.0045
15.558597803115845,0.0041
15.659284830093384,0.0042
15.759881973266602,0.0047
15.860503673553467,0.005
15.961055517196655,0.0048
16.061724424362183,0.0046
16.162413835525513,0.0045
16.263093948364258,0.0043
16.363770246505737,0.0043
16.464355945587158,0.0043
16.56489896774292,0.0048
16.66552472114563,0.005
16.76614475250244,0.0047
16.86686086654663,0.0045
16.967490434646606,0.0045
17.068156957626343,0.0046
17.168792009353638,0.0044
17.269345998764038,0.0046
17.369993209838867,0.0048
17.470611810684204,0.0045
17.571122646331787,0.0043
17.67176365852356,0.0045
17.772491216659546,0.0046
17.87308096885681,0.005
17.97361469268799,0.0048
18.074151754379272,0.0045
18.174838304519653,0.0045
18.27547287940979,0.0044
18.37618088722229,0.0043
18.476810455322266,0.0044
18.577314853668213,0.0048
18.67797565460205,0.005
18.7785964012146,0.0048
18.879302978515625,0.0046
18.980027437210083,0.0046
19.080748081207275,0.0045
19.181378841400146,0.0043
19.281999349594116,0.0044
19.382629871368408,0.0047
19.483211994171143,0.0046
19.583866834640503,0.0043
19.684582471847534,0.0042
19.785299062728882,0.0048
19.886041164398193,0.005
19.98660635948181,0.0048
20.087228775024414,0.0046
20.1878764629364,0.0045
20.28856325149536,0.0045
20.389217615127563,0.0047
20.48989987373352,0.0049
20.590535163879395,0.005
20.69114923477173,0.0049
20.791795253753662,0.0046
20.89256191253662,0.0045
20.99314308166504,0.0046
21.09384250640869,0.0047
21.1944899559021,0.0047
21.29516100883484,0.0046
21.395845651626587,0.0047
21.496299266815186,0.0048
21.596898078918457,0.0049
21.697378158569336,0.0049
21.7980055809021,0.0052
21.898661375045776,0.0051
21.99925708770752,0.0047
22.099961519241333,0.0043
22.200618267059326,0.0042
22.30125856399536,0.0046
22.401939153671265,0.0049
22.50260353088379,0.005
22.60312795639038,0.0052
22.70380973815918,0.0051
22.8044695854187,0.0048
22.90509009361267,0.0046
23.00576138496399,0.0048
23.106390237808228,0.0048
23.207083702087402,0.0048
23.307748556137085,0.0048
23.408366441726685,0.0052
23.50892972946167,0.0053
23.609519481658936,0.0052
23.71014165878296,0.005
23.810829401016235,0.0051
23.911362409591675,0.0052
24.011969089508057,0.0049
24.112693071365356,0.0045
24.21328854560852,0.0046
24.31397032737732,0.0049
24.414589643478394,0.0052
24.51519274711609,0.0052
24.615879774093628,0.005
24.71656036376953,0.005
24.817144870758057,0.0049
24.91773748397827,0.0049
